City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Bangalore,2018-02-16,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-02-17,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-02-18,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,2018-02-19,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,2018-02-20,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,2018-02-21,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-02-22,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-02-23,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,2018-02-24,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,2018-02-25,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-02-26,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-02-27,67,36.85,72.36,55.61,76.38,0.7,63.65
Bangalore,2018-02-28,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-03-01,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,2018-03-02,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-03-03,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-03-04,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,2018-03-05,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,2018-03-06,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-03-07,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,2018-03-08,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-03-09,122,67.1,131.76,101.26,139.08,1.28,115.9
Bangalore,2018-03-10,127,69.85,137.16,105.41,144.78,1.33,120.65
Bangalore,2018-03-11,119,65.45,128.52,98.77,135.66,1.25,113.05
Bangalore,2018-03-12,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-03-13,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,2018-03-14,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,2018-03-15,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,2018-03-16,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-03-17,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-03-18,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,2018-03-19,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-03-20,114,62.7,123.12,94.62,129.96,1.2,108.3
Bangalore,2018-03-21,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,2018-03-22,124,68.2,133.92,102.92,141.36,1.3,117.8
Bangalore,2018-03-23,106,58.3,114.48,87.98,120.84,1.11,100.7
Bangalore,2018-03-24,109,59.95,117.72,90.47,124.26,1.14,103.55
Bangalore,2018-03-25,126,69.3,136.08,104.58,143.64,1.32,119.7
Bangalore,2018-03-26,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,2018-03-27,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,2018-03-28,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,2018-03-29,138,75.9,149.04,114.54,157.32,1.45,131.1
Bangalore,2018-03-30,130,71.5,140.4,107.9,148.2,1.37,123.5
Bangalore,2018-03-31,117,64.35,126.36,97.11,133.38,1.23,111.15
Bangalore,2018-04-01,112,61.6,120.96,92.96,127.68,1.18,106.4
Bangalore,2018-04-02,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-04-03,97,53.35,104.76,80.51,110.58,1.02,92.15
Bangalore,2018-04-04,106,58.3,114.48,87.98,120.84,1.11,100.7
Bangalore,2018-04-05,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,2018-04-06,116,63.8,125.28,96.28,132.24,1.22,110.2
Bangalore,2018-04-07,128,70.4,138.24,106.24,145.92,1.34,121.6
Bangalore,2018-04-08,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,2018-04-09,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-04-10,66,36.3,71.28,54.78,75.24,0.69,62.7
Bangalore,2018-04-11,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-04-12,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,2018-04-13,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-04-14,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-04-15,97,53.35,104.76,80.51,110.58,1.02,92.15
Bangalore,2018-04-16,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,2018-04-17,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-04-18,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-04-19,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-04-20,100,55,108,83,114,1.05,95
Bangalore,2018-04-21,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-04-22,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-04-23,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-04-24,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-04-25,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-04-26,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-04-27,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-04-28,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,2018-04-29,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,2018-04-30,80,44,86.4,66.4,91.2,0.84,76
Bangalore,2018-05-01,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,2018-05-02,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,2018-05-03,85,46.75,91.8,70.55,96.9,0.89,80.75
Bangalore,2018-05-04,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-05-05,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,2018-05-06,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-05-07,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,2018-05-08,110,60.5,118.8,91.3,125.4,1.16,104.5
Bangalore,2018-05-09,67,36.85,72.36,55.61,76.38,0.7,63.65
Bangalore,2018-05-10,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-05-11,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,2018-05-12,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,2018-05-13,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-05-14,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-05-15,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-05-16,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,2018-05-17,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-05-18,85,46.75,91.8,70.55,96.9,0.89,80.75
Bangalore,2018-05-19,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-05-20,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-05-21,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-05-22,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-05-23,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,2018-05-24,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-05-25,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-05-26,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-05-27,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-05-28,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-05-29,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-05-30,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-05-31,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-06-01,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,2018-06-02,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,2018-06-03,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,2018-06-04,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-06-05,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-06-06,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-06-07,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-06-08,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-06-09,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-06-10,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,2018-06-11,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-06-12,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-06-13,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,2018-06-14,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-06-15,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-06-16,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,2018-06-17,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-06-18,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,2018-06-19,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-06-20,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-06-21,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-06-22,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,2018-06-23,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-06-24,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-06-25,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,2018-06-26,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-06-27,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,2018-06-28,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,2018-06-29,42,23.1,45.36,34.86,47.88,0.44,39.9
Bangalore,2018-06-30,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-07-01,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-07-02,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-07-03,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,2018-07-04,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-05,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-06,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-07-07,44,24.2,47.52,36.52,50.16,0.46,41.8
Bangalore,2018-07-08,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,2018-07-09,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-10,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-11,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-07-12,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-07-13,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,2018-07-14,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,2018-07-15,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-16,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,2018-07-17,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-07-18,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,2018-07-19,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-07-20,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,2018-07-21,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,2018-07-22,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-07-23,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,2018-07-24,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,2018-07-25,47,25.85,50.76,39.01,53.58,0.49,44.65
Bangalore,2018-07-26,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-07-27,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-07-28,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,2018-07-29,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,2018-07-30,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,2018-07-31,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-08-01,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-08-02,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-08-03,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,2018-08-04,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,2018-08-05,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-08-06,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-08-07,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-08-08,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,2018-08-09,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-08-10,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-08-11,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,2018-08-12,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,2018-08-13,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,2018-08-14,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-08-15,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,2018-08-16,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,2018-08-17,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,2018-08-18,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,2018-08-19,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,2018-08-20,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-08-21,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-08-22,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-08-23,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-08-24,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-08-25,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-08-26,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-08-27,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,2018-08-28,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-08-29,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,2018-08-30,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-08-31,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-09-01,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-09-02,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-09-03,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-09-04,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-09-05,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-09-06,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-09-07,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-09-08,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,2018-09-09,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-09-10,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-09-11,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-09-12,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,2018-09-13,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,2018-09-14,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-09-15,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-09-16,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,2018-09-17,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-09-18,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-09-19,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-09-20,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-09-21,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-09-22,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-09-23,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,2018-09-24,80,44,86.4,66.4,91.2,0.84,76
Bangalore,2018-09-25,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-09-26,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-09-27,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,2018-09-28,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,2018-09-29,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,2018-09-30,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-10-01,61,33.55,65.88,50.63,69.54,0.64,57.95
Bangalore,2018-10-02,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,2018-10-03,50,27.5,54,41.5,57,0.53,47.5
Bangalore,2018-10-04,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,2018-10-05,44,24.2,47.52,36.52,50.16,0.46,41.8
Bangalore,2018-10-06,41,22.55,44.28,34.03,46.74,0.43,38.95
Bangalore,2018-10-07,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,2018-10-08,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-10-09,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,2018-10-10,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-10-11,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,2018-10-12,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,2018-10-13,179,98.45,193.32,148.57,204.06,1.88,170.05
Bangalore,2018-10-14,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,2018-10-15,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,2018-10-16,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-10-17,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-10-18,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,2018-10-19,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,2018-10-20,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-10-21,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-10-22,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,2018-10-23,120,66,129.6,99.6,136.8,1.26,114
Bangalore,2018-10-24,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,2018-10-25,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-10-26,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-10-27,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-10-28,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,2018-10-29,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-10-30,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-10-31,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-11-01,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-11-02,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-11-03,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-11-04,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-11-05,66,36.3,71.28,54.78,75.24,0.69,62.7
Bangalore,2018-11-06,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,2018-11-07,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-11-08,132,72.6,142.56,109.56,150.48,1.39,125.4
Bangalore,2018-11-09,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,2018-11-10,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-11-11,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,2018-11-12,105,57.75,113.4,87.15,119.7,1.1,99.75
Bangalore,2018-11-13,143,78.65,154.44,118.69,163.02,1.5,135.85
Bangalore,2018-11-14,142,78.1,153.36,117.86,161.88,1.49,134.9
Bangalore,2018-11-15,127,69.85,137.16,105.41,144.78,1.33,120.65
Bangalore,2018-11-16,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,2018-11-17,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-11-18,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-11-19,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,2018-11-20,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,2018-11-21,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,2018-11-22,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,2018-11-23,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,2018-11-24,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-11-25,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,2018-11-26,132,72.6,142.56,109.56,150.48,1.39,125.4
Bangalore,2018-11-27,121,66.55,130.68,100.43,137.94,1.27,114.95
Bangalore,2018-11-28,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,2018-11-29,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,2018-11-30,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-12-01,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,2018-12-02,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-12-03,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,2018-12-04,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-12-05,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-12-06,60,33,64.8,49.8,68.4,0.63,57
Bangalore,2018-12-07,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-12-08,100,55,108,83,114,1.05,95
Bangalore,2018-12-09,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,2018-12-10,162,89.1,174.96,134.46,184.68,1.7,153.9
Bangalore,2018-12-11,176,96.8,190.08,146.08,200.64,1.85,167.2
Bangalore,2018-12-12,179,98.45,193.32,148.57,204.06,1.88,170.05
Bangalore,2018-12-13,158,86.9,170.64,131.14,180.12,1.66,150.1
Bangalore,2018-12-14,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,2018-12-15,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-12-16,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,2018-12-17,160,88,172.8,132.8,182.4,1.68,152
Bangalore,2018-12-18,206,113.3,222.48,170.98,234.84,2.16,195.7
Bangalore,2018-12-19,119,65.45,128.52,98.77,135.66,1.25,113.05
Bangalore,2018-12-20,142,78.1,153.36,117.86,161.88,1.49,134.9
Bangalore,2018-12-21,130,71.5,140.4,107.9,148.2,1.37,123.5
Bangalore,2018-12-22,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-12-23,83,45.65,89.64,68.89,94.62,0.87,78.85
Bangalore,2018-12-24,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,2018-12-25,104,57.2,112.32,86.32,118.56,1.09,98.8
Bangalore,2018-12-26,113,62.15,122.04,93.79,128.82,1.19,107.35
