City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,day,month,weekend,AQI_future
Bangalore,2018-11-10,111,61.05,119.88,92.13,126.54,1.17,105.45,10,11,1,115.0
Bangalore,2018-12-10,115,63.25,124.2,95.45,131.1,1.21,109.25,10,12,0,69.0
Bangalore,2018-01-11,69,37.95,74.52,57.27,78.66,0.72,65.55,11,1,0,62.0
Bangalore,2018-02-11,62,34.1,66.96,51.46,70.68,0.65,58.9,11,2,1,58.0
Bangalore,2018-03-11,58,31.9,62.64,48.14,66.12,0.61,55.1,11,3,1,60.0
Bangalore,2018-04-11,60,33.0,64.8,49.8,68.4,0.63,57.0,11,4,0,66.0
Bangalore,2018-05-11,66,36.3,71.28,54.78,75.24,0.69,62.7,11,5,0,87.0
Bangalore,2018-06-11,87,47.85,93.96,72.21,99.18,0.91,82.65,11,6,0,84.0
Bangalore,2018-07-11,84,46.2,90.72,69.72,95.76,0.88,79.8,11,7,0,132.0
Bangalore,2018-08-11,132,72.6,142.56,109.56,150.48,1.39,125.4,11,8,1,93.0
Bangalore,2018-09-11,93,51.15,100.44,77.19,106.02,0.98,88.35,11,9,0,92.0
Bangalore,2018-10-11,92,50.6,99.36,76.36,104.88,0.97,87.4,11,10,0,102.0
Bangalore,2018-11-11,102,56.1,110.16,84.66,116.28,1.07,96.9,11,11,1,105.0
Bangalore,2018-12-11,105,57.75,113.4,87.15,119.7,1.1,99.75,11,12,0,75.0
Bangalore,2018-01-12,75,41.25,81.0,62.25,85.5,0.79,71.25,12,1,0,84.0
Bangalore,2018-02-12,84,46.2,90.72,69.72,95.76,0.88,79.8,12,2,0,57.0
Bangalore,2018-03-12,57,31.35,61.56,47.31,64.98,0.6,54.15,12,3,0,68.0
Bangalore,2018-04-12,68,37.4,73.44,56.44,77.52,0.71,64.6,12,4,0,68.0
Bangalore,2018-05-12,68,37.4,73.44,56.44,77.52,0.71,64.6,12,5,1,60.0
Bangalore,2018-06-12,60,33.0,64.8,49.8,68.4,0.63,57.0,12,6,0,68.0
Bangalore,2018-07-12,68,37.4,73.44,56.44,77.52,0.71,64.6,12,7,0,100.0
Bangalore,2018-08-12,100,55.0,108.0,83.0,114.0,1.05,95.0,12,8,1,118.0
Bangalore,2018-09-12,118,64.9,127.44,97.94,134.52,1.24,112.1,12,9,0,162.0
Bangalore,2018-10-12,162,89.1,174.96,134.46,184.68,1.7,153.9,12,10,0,176.0
Bangalore,2018-11-12,176,96.8,190.08,146.08,200.64,1.85,167.2,12,11,0,179.0
Bangalore,2018-12-12,179,98.45,193.32,148.57,204.06,1.88,170.05,12,12,0,118.0
Bangalore,2019-01-01,118,64.9,127.44,97.94,134.52,1.24,112.1,1,1,0,92.0
Bangalore,2019-02-01,92,50.6,99.36,76.36,104.88,0.97,87.4,1,2,0,93.0
Bangalore,2019-03-01,93,51.15,100.44,77.19,106.02,0.98,88.35,1,3,0,104.0
Bangalore,2019-04-01,104,57.2,112.32,86.32,118.56,1.09,98.8,1,4,0,102.0
Bangalore,2019-05-01,102,56.1,110.16,84.66,116.28,1.07,96.9,1,5,0,115.0
Bangalore,2019-06-01,115,63.25,124.2,95.45,131.1,1.21,109.25,1,6,1,113.0
Bangalore,2019-07-01,113,62.15,122.04,93.79,128.82,1.19,107.35,1,7,0,108.0
Bangalore,2019-08-01,108,59.4,116.64,89.64,123.12,1.13,102.6,1,8,0,133.0
Bangalore,2019-09-01,133,73.15,143.64,110.39,151.62,1.4,126.35,1,9,1,125.0
Bangalore,2019-10-01,125,68.75,135.0,103.75,142.5,1.31,118.75,1,10,0,135.0
Bangalore,2019-11-01,135,74.25,145.8,112.05,153.9,1.42,128.25,1,11,0,133.0
Bangalore,2019-12-01,133,73.15,143.64,110.39,151.62,1.4,126.35,1,12,1,93.0
Bangalore,2019-01-02,93,51.15,100.44,77.19,106.02,0.98,88.35,2,1,0,101.0
Bangalore,2019-02-02,101,55.55,109.08,83.83,115.14,1.06,95.95,2,2,1,95.0
Bangalore,2019-03-02,95,52.25,102.6,78.85,108.3,1.0,90.25,2,3,1,67.0
Bangalore,2019-04-02,67,36.85,72.36,55.61,76.38,0.7,63.65,2,4,0,81.0
Bangalore,2019-05-02,81,44.55,87.48,67.23,92.34,0.85,76.95,2,5,0,107.0
Bangalore,2019-06-02,107,58.85,115.56,88.81,121.98,1.12,101.65,2,6,1,152.0
Bangalore,2019-07-02,152,83.6,164.16,126.16,173.28,1.6,144.4,2,7,0,106.0
Bangalore,2019-08-02,106,58.3,114.48,87.98,120.84,1.11,100.7,2,8,0,165.0
Bangalore,2019-09-02,165,90.75,178.2,136.95,188.1,1.73,156.75,2,9,0,107.0
Bangalore,2019-10-02,107,58.85,115.56,88.81,121.98,1.12,101.65,2,10,0,72.0
Bangalore,2019-11-02,72,39.6,77.76,59.76,82.08,0.76,68.4,2,11,1,83.0
Bangalore,2019-12-02,83,45.65,89.64,68.89,94.62,0.87,78.85,2,12,0,149.0
Bangalore,2019-01-03,149,81.95,160.92,123.67,169.86,1.56,141.55,3,1,0,104.0
Bangalore,2019-02-03,104,57.2,112.32,86.32,118.56,1.09,98.8,3,2,1,141.0
Bangalore,2019-03-03,141,77.55,152.28,117.03,160.74,1.48,133.95,3,3,1,130.0
Bangalore,2019-04-03,130,71.5,140.4,107.9,148.2,1.37,123.5,3,4,0,110.0
Bangalore,2019-05-03,110,60.5,118.8,91.3,125.4,1.16,104.5,3,5,0,116.0
Bangalore,2019-06-03,116,63.8,125.28,96.28,132.24,1.22,110.2,3,6,0,143.0
Bangalore,2019-07-03,143,78.65,154.44,118.69,163.02,1.5,135.85,3,7,0,164.0
Bangalore,2019-08-03,164,90.2,177.12,136.12,186.96,1.72,155.8,3,8,1,144.0
Bangalore,2019-09-03,144,79.2,155.52,119.52,164.16,1.51,136.8,3,9,0,95.0
Bangalore,2019-10-03,95,52.25,102.6,78.85,108.3,1.0,90.25,3,10,0,81.0
Bangalore,2019-11-03,81,44.55,87.48,67.23,92.34,0.85,76.95,3,11,1,103.0
Bangalore,2019-12-03,103,56.65,111.24,85.49,117.42,1.08,97.85,3,12,0,126.0
Bangalore,2019-01-04,126,69.3,136.08,104.58,143.64,1.32,119.7,4,1,0,151.0
Bangalore,2019-02-04,151,83.05,163.08,125.33,172.14,1.59,143.45,4,2,0,122.0
Bangalore,2019-03-04,122,67.1,131.76,101.26,139.08,1.28,115.9,4,3,0,120.0
Bangalore,2019-04-04,120,66.0,129.6,99.6,136.8,1.26,114.0,4,4,0,113.0
Bangalore,2019-05-04,113,62.15,122.04,93.79,128.82,1.19,107.35,4,5,1,120.0
Bangalore,2019-06-04,120,66.0,129.6,99.6,136.8,1.26,114.0,4,6,0,120.0
Bangalore,2019-07-04,120,66.0,129.6,99.6,136.8,1.26,114.0,4,7,0,109.0
Bangalore,2019-08-04,109,59.95,117.72,90.47,124.26,1.14,103.55,4,8,1,122.0
Bangalore,2019-09-04,122,67.1,131.76,101.26,139.08,1.28,115.9,4,9,0,119.0
Bangalore,2019-10-04,119,65.45,128.52,98.77,135.66,1.25,113.05,4,10,0,103.0
Bangalore,2019-11-04,103,56.65,111.24,85.49,117.42,1.08,97.85,4,11,0,118.0
Bangalore,2019-12-04,118,64.9,127.44,97.94,134.52,1.24,112.1,4,12,0,95.0
Bangalore,2019-01-05,95,52.25,102.6,78.85,108.3,1.0,90.25,5,1,1,102.0
Bangalore,2019-02-05,102,56.1,110.16,84.66,116.28,1.07,96.9,5,2,0,112.0
Bangalore,2019-03-05,112,61.6,120.96,92.96,127.68,1.18,106.4,5,3,0,131.0
Bangalore,2019-04-05,131,72.05,141.48,108.73,149.34,1.38,124.45,5,4,0,135.0
Bangalore,2019-05-05,135,74.25,145.8,112.05,153.9,1.42,128.25,5,5,1,146.0
Bangalore,2019-06-05,146,80.3,157.68,121.18,166.44,1.53,138.7,5,6,0,101.0
Bangalore,2019-07-05,101,55.55,109.08,83.83,115.14,1.06,95.95,5,7,0,69.0
Bangalore,2019-08-05,69,37.95,74.52,57.27,78.66,0.72,65.55,5,8,0,80.0
Bangalore,2019-09-05,80,44.0,86.4,66.4,91.2,0.84,76.0,5,9,0,97.0
Bangalore,2019-10-05,97,53.35,104.76,80.51,110.58,1.02,92.15,5,10,1,95.0
Bangalore,2019-11-05,95,52.25,102.6,78.85,108.3,1.0,90.25,5,11,0,80.0
Bangalore,2019-12-05,80,44.0,86.4,66.4,91.2,0.84,76.0,5,12,0,58.0
Bangalore,2019-01-06,58,31.9,62.64,48.14,66.12,0.61,55.1,6,1,1,79.0
Bangalore,2019-02-06,79,43.45,85.32,65.57,90.06,0.83,75.05,6,2,0,69.0
Bangalore,2019-03-06,69,37.95,74.52,57.27,78.66,0.72,65.55,6,3,0,58.0
Bangalore,2019-04-06,58,31.9,62.64,48.14,66.12,0.61,55.1,6,4,1,65.0
Bangalore,2019-05-06,65,35.75,70.2,53.95,74.1,0.68,61.75,6,5,0,58.0
Bangalore,2019-06-06,58,31.9,62.64,48.14,66.12,0.61,55.1,6,6,0,80.0
Bangalore,2019-07-06,80,44.0,86.4,66.4,91.2,0.84,76.0,6,7,1,53.0
Bangalore,2019-08-06,53,29.15,57.24,43.99,60.42,0.56,50.35,6,8,0,55.0
Bangalore,2019-09-06,55,30.25,59.4,45.65,62.7,0.58,52.25,6,9,0,43.0
Bangalore,2019-10-06,43,23.65,46.44,35.69,49.02,0.45,40.85,6,10,1,41.0
Bangalore,2019-11-06,41,22.55,44.28,34.03,46.74,0.43,38.95,6,11,0,47.0
Bangalore,2019-12-06,47,25.85,50.76,39.01,53.58,0.49,44.65,6,12,0,62.0
Bangalore,2019-01-07,62,34.1,66.96,51.46,70.68,0.65,58.9,7,1,0,62.0
Bangalore,2019-02-07,62,34.1,66.96,51.46,70.68,0.65,58.9,7,2,0,57.0
Bangalore,2019-03-07,57,31.35,61.56,47.31,64.98,0.6,54.15,7,3,0,54.0
Bangalore,2019-04-07,54,29.7,58.32,44.82,61.56,0.57,51.3,7,4,1,60.0
Bangalore,2019-05-07,60,33.0,64.8,49.8,68.4,0.63,57.0,7,5,0,53.0
Bangalore,2019-06-07,53,29.15,57.24,43.99,60.42,0.56,50.35,7,6,0,62.0
Bangalore,2019-07-07,62,34.1,66.96,51.46,70.68,0.65,58.9,7,7,1,57.0
Bangalore,2019-08-07,57,31.35,61.56,47.31,64.98,0.6,54.15,7,8,0,58.0
Bangalore,2019-09-07,58,31.9,62.64,48.14,66.12,0.61,55.1,7,9,1,54.0
Bangalore,2019-10-07,54,29.7,58.32,44.82,61.56,0.57,51.3,7,10,0,70.0
Bangalore,2019-11-07,70,38.5,75.6,58.1,79.8,0.74,66.5,7,11,0,63.0
Bangalore,2019-12-07,63,34.65,68.04,52.29,71.82,0.66,59.85,7,12,1,54.0
Bangalore,2019-01-08,54,29.7,58.32,44.82,61.56,0.57,51.3,8,1,0,51.0
Bangalore,2019-02-08,51,28.05,55.08,42.33,58.14,0.54,48.45,8,2,0,44.0
Bangalore,2019-03-08,44,24.2,47.52,36.52,50.16,0.46,41.8,8,3,0,47.0
Bangalore,2019-04-08,47,25.85,50.76,39.01,53.58,0.49,44.65,8,4,0,38.0
Bangalore,2019-05-08,38,20.9,41.04,31.54,43.32,0.4,36.1,8,5,0,42.0
Bangalore,2019-06-08,42,23.1,45.36,34.86,47.88,0.44,39.9,8,6,1,45.0
Bangalore,2019-07-08,45,24.75,48.6,37.35,51.3,0.47,42.75,8,7,0,36.0
Bangalore,2019-08-08,36,19.8,38.88,29.88,41.04,0.38,34.2,8,8,0,38.0
Bangalore,2019-09-08,38,20.9,41.04,31.54,43.32,0.4,36.1,8,9,1,42.0
Bangalore,2019-10-08,42,23.1,45.36,34.86,47.88,0.44,39.9,8,10,0,43.0
Bangalore,2019-11-08,43,23.65,46.44,35.69,49.02,0.45,40.85,8,11,0,41.0
Bangalore,2019-12-08,41,22.55,44.28,34.03,46.74,0.43,38.95,8,12,1,57.0
Bangalore,2019-01-09,57,31.35,61.56,47.31,64.98,0.6,54.15,9,1,0,42.0
Bangalore,2019-02-09,42,23.1,45.36,34.86,47.88,0.44,39.9,9,2,1,42.0
Bangalore,2019-03-09,42,23.1,45.36,34.86,47.88,0.44,39.9,9,3,1,40.0
Bangalore,2019-04-09,40,22.0,43.2,33.2,45.6,0.42,38.0,9,4,0,46.0
Bangalore,2019-05-09,46,25.3,49.68,38.18,52.44,0.48,43.7,9,5,0,48.0
Bangalore,2019-06-09,48,26.4,51.84,39.84,54.72,0.5,45.6,9,6,1,48.0
Bangalore,2019-07-09,48,26.4,51.84,39.84,54.72,0.5,45.6,9,7,0,50.0
Bangalore,2019-08-09,50,27.5,54.0,41.5,57.0,0.53,47.5,9,8,0,46.0
Bangalore,2019-09-09,46,25.3,49.68,38.18,52.44,0.48,43.7,9,9,0,59.0
Bangalore,2019-10-09,59,32.45,63.72,48.97,67.26,0.62,56.05,9,10,0,52.0
Bangalore,2019-11-09,52,28.6,56.16,43.16,59.28,0.55,49.4,9,11,1,59.0
Bangalore,2019-12-09,59,32.45,63.72,48.97,67.26,0.62,56.05,9,12,0,68.0
Bangalore,2019-01-10,68,37.4,73.44,56.44,77.52,0.71,64.6,10,1,0,55.0
Bangalore,2019-02-10,55,30.25,59.4,45.65,62.7,0.58,52.25,10,2,1,61.0
Bangalore,2019-03-10,61,33.55,65.88,50.63,69.54,0.64,57.95,10,3,1,73.0
Bangalore,2019-04-10,73,40.15,78.84,60.59,83.22,0.77,69.35,10,4,0,78.0
Bangalore,2019-05-10,78,42.9,84.24,64.74,88.92,0.82,74.1,10,5,0,68.0
Bangalore,2019-06-10,68,37.4,73.44,56.44,77.52,0.71,64.6,10,6,0,71.0
Bangalore,2019-07-10,71,39.05,76.68,58.93,80.94,0.75,67.45,10,7,0,76.0
Bangalore,2019-08-10,76,41.8,82.08,63.08,86.64,0.8,72.2,10,8,1,76.0
Bangalore,2019-09-10,76,41.8,82.08,63.08,86.64,0.8,72.2,10,9,0,106.0
Bangalore,2019-10-10,106,58.3,114.48,87.98,120.84,1.11,100.7,10,10,0,77.0
Bangalore,2019-11-10,77,42.35,83.16,63.91,87.78,0.81,73.15,10,11,1,78.0
Bangalore,2019-12-10,78,42.9,84.24,64.74,88.92,0.82,74.1,10,12,0,77.0
Bangalore,2019-01-11,77,42.35,83.16,63.91,87.78,0.81,73.15,11,1,0,60.0
Bangalore,2019-02-11,60,33.0,64.8,49.8,68.4,0.63,57.0,11,2,0,82.0
Bangalore,2019-03-11,82,45.1,88.56,68.06,93.48,0.86,77.9,11,3,0,84.0
Bangalore,2019-04-11,84,46.2,90.72,69.72,95.76,0.88,79.8,11,4,0,138.0
Bangalore,2019-05-11,138,75.9,149.04,114.54,157.32,1.45,131.1,11,5,1,161.0
Bangalore,2019-06-11,161,88.55,173.88,133.63,183.54,1.69,152.95,11,6,0,156.0
Bangalore,2019-07-11,156,85.8,168.48,129.48,177.84,1.64,148.2,11,7,0,144.0
Bangalore,2019-08-11,144,79.2,155.52,119.52,164.16,1.51,136.8,11,8,1,99.0
Bangalore,2019-09-11,99,54.45,106.92,82.17,112.86,1.04,94.05,11,9,0,90.0
Bangalore,2019-10-11,90,49.5,97.2,74.7,102.6,0.95,85.5,11,10,0,134.0
Bangalore,2019-11-11,134,73.7,144.72,111.22,152.76,1.41,127.3,11,11,0,72.0
Bangalore,2019-12-11,72,39.6,77.76,59.76,82.08,0.76,68.4,11,12,0,50.0
Bangalore,2019-01-12,50,27.5,54.0,41.5,57.0,0.53,47.5,12,1,1,48.0
Bangalore,2019-02-12,48,26.4,51.84,39.84,54.72,0.5,45.6,12,2,0,62.0
Bangalore,2019-03-12,62,34.1,66.96,51.46,70.68,0.65,58.9,12,3,0,75.0
Bangalore,2019-04-12,75,41.25,81.0,62.25,85.5,0.79,71.25,12,4,0,86.0
Bangalore,2019-05-12,86,47.3,92.88,71.38,98.04,0.9,81.7,12,5,1,107.0
Bangalore,2019-06-12,107,58.85,115.56,88.81,121.98,1.12,101.65,12,6,0,84.0
Bangalore,2019-07-12,84,46.2,90.72,69.72,95.76,0.88,79.8,12,7,0,50.0
